Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,28/3/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Ivory Coast,CIV,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,15000,,,,,18000,19000,,19000,19000,18550,,,,,25000,25000,25000,27000,27000,134000,27000,73714.28571,81785.71429,89857.14286
Cameroon,CMR,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,7300,,,,21000,23000,24000,12000,12000,12000,23600,22100,22100,22100,22100,22100,31100,32100,32100,23000,23000,,23000,23000,23100,23200,23100,23200,23200,23200,23400,23400,24000,34400,34000,34000,37285.71429,39592.85714,41900
"Congo, Dem. Rep.",COD,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,48000,,,,51000,55000,60000,45000,40000,40000,65100,65100,77000,87000,92900,92900,81400,81400,97800,64000,65000,,143000,151000,159000,159000,134250,134250,134250,134250,134250,134250,134000,134250,134000,134000,133964.2857,133919.6429,133875
Congo,COG,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,8700,,,,15000,9000,9000,10000,10000,10000,16700,15000,15000,15000,15000,15000,12000,12000,12000,12000,12000,,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,12000,0,12000,6857.142857,6000,5142.857143
Colombia,COL,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,66200,,,,91000,110000,110000,139000,139000,146000,233400,233300,233300,233300,231000,247000,262600,262600,304600,336000,336000,398000,411000,411000,441828,441828,440224,440224,455750,455750,481100,481100,481000,481200,481000,428000,457971.4286,454994.6429,452017.8571
Comoros,COM,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cape Verde,CPV,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,7700,,,,3000,1000,1000,1000,1000,1000,1150,1150,1150,1150,1200,1200,1300,1300,1300,1000,1000,,1000,1000,1200,1200,1200,1200,1200,1200,1200,1200,1000,1200,1000,1000,971.4285714,935.7142857,900
Costa Rica,CRI,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,13200,,,,8000,8000,8000,8000,8000,8000,16200,16200,15400,15400,15400,15400,21900,25900,17000,,,10000,10000,10000,9800,9800,9800,9800,9800,9800,9800,9800,10000,10000,10000,10000,10085.71429,10128.57143,10171.42857
Caribbean small states,CSS,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,15000,,,,14000,14000,14000,10000,10000,10000,19300,20400,20230,20740,20480,20700,15900,13600,13400,9640,13640,13640,14640,15000,14023,14023,12510,12510,13060,15980,16430,16930,17000,18650,21000,21000,21844.28571,22770,23695.71429
Cuba,CUB,"Armed forces personnel, total",MS.MIL.TOTL.P1,,,,,,,,,,,,,,,,,,,,,,,,,,161500,,,,297000,297000,297000,175000,175000,140000,124000,119000,79000,79000,91500,84500,72500,72500,72500,75000,76000,76000,76000,76000,75500,75500,75500,75500,75500,75500,75500,75500,76000,76000,76000,76000,76214.28571,76321.42857,76428.57143
