"Data Source","World Development Indicators",

"Last Updated Date","2022-07-20",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Dominica","DMA","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Denmark","DNK","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dominican Republic","DOM","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","82.6241989135742","","","","","","","","","","","","","","","","","","","","","94.2175674438477","","","","","95.7868576049805","","","96.8057479858398","97.0420532226563","97.0238876342773","97.4724273681641","97.6885299682617","97.6140594482422","98.8394088745117","","","","","",
"Algeria","DZA","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","74.3272705078125","","","","","","","","","","","","","","","90.13720703125","","","","91.7796401977539","","93.7673263549805","","","","","","","","","","97.4265213012695","","","",
"East Asia & Pacific (excluding high income)","EAP","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","83.4258728027344","83.5620498657227","84.7836685180664","85.9902191162109","87.1339797973633","88.1445693969727","89.1352920532227","89.6985931396484","90.383903503418","90.9973068237305","91.5134506225586","92.7309417724609","94.0296401977539","94.1813888549805","94.3189315795898","94.4962005615234","94.6632766723633","94.8079299926758","95.0595016479492","95.3180770874023","95.5228500366211","97.7281494140625","97.7909774780273","97.8452606201172","97.865608215332","97.9285278320313","98.0159301757813","98.151481628418","98.2333374023438","98.3103179931641","98.2529220581055","98.5171279907227","98.8921737670898","98.8571319580078","98.8414916992188","98.4247817993164","98.4567489624023","98.4813385009766","98.6729888916016","98.7231292724609","98.7409133911133","98.7667770385742","98.7690734863281","98.8050689697266","98.8349685668945","",
"Early-demographic dividend","EAR","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","61.0259094238281","61.2363586425781","61.926441192627","62.5760307312012","63.1957511901855","63.6876602172852","64.0940322875977","64.7014923095703","65.2522201538086","65.9076766967773","66.4764099121094","67.0750198364258","68.2734375","68.873649597168","69.824577331543","70.8724822998047","71.6790313720703","72.803337097168","73.6360397338867","74.5109176635742","75.4256134033203","76.1943664550781","76.8431625366211","78.8857269287109","79.6491470336914","80.318977355957","80.9289093017578","81.8782424926758","82.6906661987305","83.5399627685547","83.9965209960938","84.4989318847656","84.851448059082","86.6971206665039","87.3152694702148","87.4982681274414","87.7250137329102","88.3721923828125","89.2036972045898","89.864631652832","90.5068817138672","91.008171081543","91.3330535888672","91.6825332641602","92.0837936401367","92.4192733764648","",
"East Asia & Pacific","EAS","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","84.2587890625","84.3968811035156","85.5143890380859","86.611930847168","87.6455383300781","88.5631866455078","89.4619674682617","89.9734573364258","90.5994720458984","91.1626892089844","91.6331024169922","92.7866897583008","93.9956893920898","94.1377563476563","94.2681732177734","94.4375534057617","94.601448059082","94.7434387207031","94.9987869262695","95.2604827880859","95.4674987792969","97.4983367919922","97.5598297119141","97.6425628662109","97.6738586425781","97.7353591918945","97.8294067382813","97.9814529418945","98.0767135620117","98.1594696044922","98.1200866699219","98.378288269043","98.744140625","98.7107925415039","98.6647796630859","98.2505264282227","98.287239074707","98.3157424926758","98.5447311401367","98.5968933105469","98.6183700561523","98.6462936401367","98.6508102416992","98.6892776489258","98.7220916748047","",
"Europe & Central Asia (excluding high income)","ECA","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","97.6324920654297","98.2234573364258","98.2419815063477","98.2389907836914","98.2617416381836","98.293083190918","98.2892532348633","98.3343887329102","98.3496932983398","98.3922882080078","98.4383697509766","98.4833221435547","98.5270614624023","98.5756072998047","98.6139526367188","98.6837463378906","98.7191772460938","98.8628692626953","98.9001617431641","98.9288024902344","98.9261169433594","98.8897018432617","99.0174179077148","99.0196075439453","99.0556335449219","99.100700378418","99.3590698242188","99.4401168823242","99.5290069580078","99.5851593017578","99.6259765625","99.6545028686523","99.680061340332","99.7351913452148","99.7375564575195","99.755126953125","99.7687683105469","99.7776336669922","",
"Europe & Central Asia","ECS","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.9655990600586","98.9794998168945","98.8619384765625","98.884880065918","98.9071884155273","98.9288482666016","98.9527969360352","98.9757919311523","98.9686965942383","98.9635467529297","99.0210418701172","99.0502700805664","99.104850769043","99.1129608154297","99.1032562255859","99.1892623901367","99.171142578125","99.2238616943359","99.2201690673828","99.4168395996094","99.4722366333008","99.5011596679688","99.5374069213867","99.5668716430664","99.5940780639648","99.6096496582031","99.6416015625","99.6588668823242","99.6701126098633","99.6848678588867","99.696418762207","",
"Ecuador","ECU","Literacy rate, youth total (% of people ages 15-24)","SE.ADT.1524.LT.ZS","","","","","","","","","","","","","","","","","","","","","","","93.4014587402344","","","","","","","","96.194709777832","","","","","","","","","","","96.4372100830078","","","","","","98.3914184570313","98.4537506103516","98.800651550293","98.6527099609375","98.6948394775391","98.8316268920898","98.6046371459961","99.097770690918","99.1261978149414","99.0571136474609","99.2550506591797","","","98.7670364379883","",
